"chapter_index","chapter","dialogue_index","line_index","speaker","line","happiness","ambitious","surprise","anger","sadness","fear","neutral"
"14","Visages","10","1","Verso","That’s good, we’re weakening him.","0.0","0.3","0.0","0.0","0.0","0.2","0.5"
"14","Visages","10","2","Sciel","This feels… off…","0.0","0.0","0.0","0.0","0.0","0.6","0.4"
"14","Visages","11","0","Lune","Everything’s destroyed.","0.0","0.0","0.0","0.0","0.3","0.3","0.4"
"14","Visages","11","1","Monoco","Normally I enjoy a little destruction, but this doesn’t feel right.","0.0","0.0","0.0","0.3","0.3","0.2","0.2"
"14","Visages","11","2","Sciel","It’s rage.","0.0","0.0","0.0","0.6","0.0","0.2","0.2"
"14","Visages","16","0","Lune","Monoco, what does that mean, “He Who Guards Truth With Lies?”","0.0","0.0","0.3","0.0","0.0","0.2","0.5"
"14","Visages","16","1","Monoco","Exactly what it sounds like.","0.0","0.0","0.0","0.0","0.0","0.2","0.8"
"14","Visages","16","2","Sciel","Guard as in protect? Or guard as in control?","0.0","0.0","0.3","0.0","0.0","0.2","0.5"
"14","Visages","16","3","Monoco","Yes.","0.0","0.0","0.0","0.0","0.0","0.2","0.8"
"14","Visages","17","0","Verso","I think you pissed him off.","0.0","0.0","0.3","0.4","0.0","0.3","0.0"
"14","Visages","17","1","Mask Keeper","People want so badly to know, “What’s behind the mask?” Front, back. Recto, verso. Great art is both window and mirror. Whether it’s your mask or theirs.","0.0","0.0","0.0","0.0","0.0","0.3","0.7"
"14","Visages","17","2","Verso","Harmless, huh.","0.0","0.0","0.0","0.3","0.0","0.3","0.4"
"14","Visages","17","3","Sciel","He’s the real Axon.","0.0","0.0","0.3","0.0","0.0","0.3","0.4"
"14","Visages","17","4","Mask Keeper","Child, we all need masks, but how you use them, mmm.","0.0","0.0","0.0","0.0","0.0","0.3","0.7"
"14","Visages","17","5","Maelle","Merde.","0.0","0.0","0.0","0.3","0.0","0.4","0.3"
"14","Visages","18","0","Maelle","We did it!","0.5","0.3","0.0","0.0","0.0","0.2","0.0"
"14","Visages","18","1","Sciel","No, wait-","0.0","0.0","0.4","0.0","0.0","0.4","0.2"
"14","Visages","18","2","Mask Keeper","We all need masks-","0.0","0.0","0.0","0.0","0.0","0.4","0.6"
"14","Visages","18","3","Sciel","This mask can’t hurt me. Because it is me.","0.0","0.0","0.0","0.0","0.0","0.5","0.5"
"14","Visages","18","4","Verso","You okay? What happened?","0.0","0.0","0.3","0.0","0.0","0.3","0.4"
"14","Visages","18","5","Sciel","Axon down. Let’s bring this to the Curator.","0.3","0.3","0.0","0.0","0.0","0.2","0.2"
"14","Visages","18","6","Verso","That was Verso, wasn’t it? Renoir?","0.0","0.0","0.3","0.0","0.0","0.4","0.3"
"14","Visages","19","0","Maelle","Me? You want me to give it to you?","0.0","0.0","0.4","0.0","0.0","0.4","0.2"
"14","Visages","19","1","Lune","Why?","0.0","0.0","0.3","0.0","0.0","0.4","0.3"
"14","Visages","19","2","Maelle","That was- I saw-","0.0","0.0","0.4","0.0","0.0","0.4","0.2"
"14","Visages","19","3","Sciel","What happened?","0.0","0.0","0.3","0.0","0.0","0.4","0.3"
"14","Visages","19","4","Maelle","I saw- I saw… It was… Renoir?","0.0","0.0","0.3","0.0","0.0","0.5","0.2"
"14","Visages","19","5","Verso","I used to see him in my nightmares too. He can be quite traumatising.","0.0","0.0","0.0","0.0","0.4","0.4","0.2"
