"row_index","Act Number","chapter_index","chapter","dialogue_index","line_index","speaker","line","happiness","ambitious","surprise","anger","sadness","fear","neutral"
"27","1","0","The Gommage","1","12","Maelle","I know what you need! A little duel!","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"28","1","0","The Gommage","1","13","Gustave","No.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"29","1","0","The Gommage","1","14","Maelle","Come on, it’ll loosen you up. You can’t go and see Sophie all sombre and tense.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"30","1","0","The Gommage","1","15","Gustave","Hmmm…","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"31","1","0","The Gommage","1","16","Maelle","And… if you win, I’ll give you something you can use with your Lumina Converter.","0.0","0.5","0.0","0.0","0.0","0.0","0.5"
"32","1","0","The Gommage","1","17","Gustave","Alright, you’re on.","0.0","0.5","0.0","0.0","0.0","0.0","0.5"
"33","1","0","The Gommage","1","18","Maelle","Yes!","0.8","0.0","0.0","0.0","0.0","0.0","0.2"
"34","1","0","The Gommage","2","0","Maelle","You won! Now, don’t you feel better? I see your smile. All right, now let’s go find Sophie. I saw her near the red and white tree.","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"35","1","0","The Gommage","2","1","Gustave","Yeah.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"36","1","0","The Gommage","2","2","Maelle","Oh, the Plaza is lively. Why people like to celebrate the Gommage is still a mystery to me, but, oh, well. The red and white tree… I’ve always found it beautiful. I don’t really understand. You and Sophie broke up so long ago. But clearly, you never got over her. Why’d you wait until today to say something? It’s a bit late, isn’t it? Sophie is down there.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"37","1","0","The Gommage","2","3","Gustave","Yeah, I know.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"38","1","0","The Gommage","2","4","Maelle","I… Good luck. I’ll be here for you if things… don’t go as planned.","0.0","0.0","0.0","0.0","0.5","0.0","0.5"
"39","1","0","The Gommage","2","5","Gustave","Thanks.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"40","1","0","The Gommage","3","0","Sophie","…the last few days meant everything.","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"41","1","0","The Gommage","3","1","Gustave","…Could we talk?","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"42","1","0","The Gommage","3","2","Sophie","Gustave. I love you all.","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"43","1","0","The Gommage","3","3","Gustave","For your, um– If there’s room…","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"44","1","0","The Gommage","3","4","Sophie","There’s always room.","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"45","1","0","The Gommage","3","5","Gustave","You know, I’m sorry that…","0.0","0.0","0.0","0.0","0.5","0.0","0.5"
"46","1","0","The Gommage","3","6","Sophie","I missed you–","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"47","1","0","The Gommage","3","7","Gustave","I missed you too.","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"48","1","0","The Gommage","3","8","Sophie","You don’t need to– (laugh) Okay.","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"49","1","0","The Gommage","3","9","Gustave","You go.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"50","1","0","The Gommage","3","10","Sophie","No, you.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"51","1","0","The Gommage","3","11","Gustave","You, uh– You know how I fell. I– I wish things had been– You know… I often think– Another path, you know… Another future–","0.0","0.0","0.0","0.0","0.5","0.0","0.5"
"52","1","0","The Gommage","3","12","Sophie","Still can’t finish your sentences, can you?","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"53","1","0","The Gommage","3","13","Gustave","Yeah, that hasn’t changed…","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"54","1","0","The Gommage","3","14","Sophie","I missed that. I never faulted you for wanting to believe. You’re fighting. To change things. I understand, I just… In a “different world”, right?","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"55","1","0","The Gommage","3","15","Gustave","We’ll break the cycle. So She can’t steal anyone else’s future.","0.0","0.8","0.0","0.0","0.0","0.0","0.2"
"56","1","0","The Gommage","3","16","Sophie","Stubborn people change the world. And you are the most stubborn person I know. Thank you. Walk me to the harbour?","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"57","1","0","The Gommage","3","17","Gustave","Yes.","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"58","1","0","The Gommage","4","0","Tiffanie","Oh, hi, Sophie. So Gustave really did come, huh?","0.3","0.0","0.0","0.0","0.0","0.0","0.7"
"59","1","0","The Gommage","4","1","Sophie","Hm, yeah, he did.","0.2","0.0","0.0","0.0","0.0","0.0","0.8"
"60","1","0","The Gommage","4","2","Tiffanie","I knew he would.","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"61","1","0","The Gommage","4","7","Sophie","Looks like you still have a lot of flowers left.","0.1","0.0","0.0","0.0","0.0","0.0","0.9"
"62","1","0","The Gommage","4","8","Tiffanie","Well, there are less and less people to buy them… I just wish you didn’t have to wear one.","0.0","0.0","0.0","0.0","0.7","0.0","0.3"
"63","1","0","The Gommage","4","9","Sophie","Tiffanie…","0.0","0.0","0.0","0.0","0.2","0.0","0.8"
"64","1","0","The Gommage","4","10","Tiffanie","I should finish cleaning up here and join everyone at the harbour. See you.","0.0","0.0","0.0","0.0","0.3","0.0","0.7"
"65","1","0","The Gommage","4","11","Sophie","See you…","0.0","0.0","0.0","0.0","0.6","0.0","0.4"
"66","1","0","The Gommage","5","0","Gustave","I can’t imagine what you’re going through…","0.0","0.0","0.0","0.0","0.7","0.0","0.3"
"67","1","0","The Gommage","5","1","Sophie","I’m fine.","0.0","0.0","0.0","0.0","0.2","0.0","0.8"
"68","1","0","The Gommage","5","2","Gustave","(sceptical grunt)","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"69","1","0","The Gommage","5","3","Sophie","I’m FINE. I’ve lived 33 good years. Look around. We’ve had our whole lives to prepare. We’re all fine. Mostly.","0.0","0.0","0.0","0.0","0.4","0.0","0.6"
"70","1","0","The Gommage","5","4","Gustave","I’m not fine.","0.0","0.0","0.0","0.0","0.7","0.0","0.3"
"71","1","0","The Gommage","5","5","Sophie","You will be.","0.3","0.0","0.0","0.0","0.0","0.0","0.7"
"72","1","0","The Gommage","8","0","Cyril","Ah, the scintillating Sophie! You’re as gorgeous as always!","0.8","0.0","0.0","0.0","0.0","0.0","0.2"
"73","1","0","The Gommage","8","1","Sophie","Cyril, you flatterer. Need some help with your writing again?","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"74","1","0","The Gommage","8","2","Cyril","Beautiful and perceptive, per usual. See, I’m preparing the headline for tomorrow, and who could write it better than someone who celebrates her special day today!","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"75","1","0","The Gommage","8","3","Sophie","Hm, true. So, what will the article be about?","0.2","0.0","0.0","0.0","0.0","0.0","0.8"
"76","1","0","The Gommage","8","4","Cyril","Actually…","0.1","0.0","0.0","0.0","0.0","0.0","0.9"
"77","1","0","The Gommage","8","5","Sophie","You don’t know?","0.1","0.0","0.0","0.0","0.0","0.0","0.9"
"78","1","0","The Gommage","8","6","Cyril","Well…","0.1","0.0","0.0","0.0","0.0","0.0","0.9"
"79","1","0","The Gommage","8","7","Sophie","You really are lazy.","0.2","0.0","0.0","0.0","0.0","0.0","0.8"
"80","1","0","The Gommage","8","8","Cyril","Help me again, Sophie, please. My boss will kill me…","0.0","0.0","0.0","0.0","0.0","0.3","0.7"
"81","1","0","The Gommage","8","9","Sophie","Sure, let me think of a headline…","0.2","0.0","0.0","0.0","0.0","0.0","0.8"
"82","1","0","The Gommage","8","10","Sophie","Expedition 33 shall be the destined journey.","0.0","0.1","0.0","0.0","0.0","0.0","0.9"
"83","1","0","The Gommage","8","11","Cyril","A headline about the Expedition… That’s bold. Nobody really cares about them anymore after their constant failures. But that would make a wonderful underdog story. Okay, now I’m inspired. You really are a divine being, Sophie.","0.3","0.0","0.0","0.0","0.0","0.0","0.7"
"84","1","0","The Gommage","8","12","Sophie","Don’t forget to credit me.","0.2","0.0","0.0","0.0","0.0","0.0","0.8"
"85","1","0","The Gommage","8","13","Cyril","I would never… Thank you for all these times.","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"86","1","0","The Gommage","8","14","Sophie","It’s always been a pleasure, my friend. Take care of yourself.","0.6","0.0","0.0","0.0","0.0","0.0","0.4"
"87","1","0","The Gommage","8","15","Cyril","Yeah…","0.0","0.0","0.0","0.0","0.3","0.0","0.7"
"88","1","0","The Gommage","9","0","Estelle","Hey, you. You seem like a woman with exquisite taste. I just finished my sculpture to the legendary Esquie. This may be my life’s finest work, yet not a single soul seems to care. How could I make it better?","0.3","0.0","0.0","0.0","0.0","0.0","0.7"
"89","1","0","The Gommage","9","1","Sophie","Perhaps you could paint it? Add some colours?","0.2","0.0","0.0","0.0","0.0","0.0","0.8"
"90","1","0","The Gommage","9","2","Estelle","Paint it? Hmm… Brilliant. I knew you were the right person to ask. Thank you for your insight!","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"91","1","0","The Gommage","9","3","Sophie","You’re most welcome.","0.2","0.0","0.0","0.0","0.0","0.0","0.8"
"92","1","0","The Gommage","9","4","Estelle","I shall get to work tomorrow. I see you’re wearing flowers. What’s your name?","0.1","0.0","0.0","0.0","0.0","0.0","0.9"
"93","1","0","The Gommage","9","5","Sophie","Sophie.","0.1","0.0","0.0","0.0","0.0","0.0","0.9"
"94","1","0","The Gommage","9","6","Estelle","Sophie, as a thank you, I shall chisel your name onto the statue.","0.6","0.0","0.0","0.0","0.0","0.0","0.4"
"95","1","0","The Gommage","9","7","Sophie","Oh, you don’t have to.","0.2","0.0","0.0","0.0","0.0","0.0","0.8"
"96","1","0","The Gommage","9","8","Estelle","But I will.","0.1","0.0","0.0","0.0","0.0","0.0","0.9"
"97","1","0","The Gommage","15","0","Ulysse","My Gestral costume is the best! Hey, madame, do you think the Gestrals really exist?","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"98","1","0","The Gommage","15","1","Sophie","Of course they do!","0.2","0.0","0.0","0.0","0.0","0.0","0.8"
"99","1","0","The Gommage","15","2","Ulysse","That’s what I think too. The others laugh, but I know they’re real. One day, I will meet one. Even if it means joining an Expedition! I’ll raise a Gestral army and we’ll crush the Paintress! And me and my little brother will live with the Gestrals and they’ll be our new family. We’re tired of the orphanage… If the legends are true, they really like to fight. That’s why I’m training everyday by beating up my little brother!","0.0","0.7","0.0","0.0","0.0","0.0","0.3"
"100","1","0","The Gommage","15","3","Sophie","That’s… Yeah. You would make a great Gestral.","0.3","0.0","0.0","0.0","0.0","0.0","0.7"
"101","1","0","The Gommage","15","4","Ulysse","Thanks!","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"102","1","0","The Gommage","16","0","Richard","Oh, Sophie, what a lovely smell.","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"103","1","0","The Gommage","16","1","Sophie","Thank you, Richard.","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"104","1","0","The Gommage","16","2","Richard","I could recognize it from miles away. It’s good you’re here, Sophie. I have a favor to ask of you.","0.2","0.0","0.0","0.0","0.0","0.0","0.8"
"105","1","0","The Gommage","16","3","Sophie","Anything for my beloved sewing teacher.","0.6","0.0","0.0","0.0","0.0","0.0","0.4"
"106","1","0","The Gommage","16","4","Richard","I… We are of the same cohort. Today is my Gommage. And… My son and I had a fight last night. He said he wants to join the Expedition… He wants to waste the last years of his life. I… I didn’t want that for him. I used to think it was a bad choice, but today, I no longer do. I know I made a mistake. I tried to impose my views on him when he is much braver than I will ever be. So I sewed a special uniforme for him as my last gift. Could you bring it to him?","0.0","0.0","0.0","0.0","0.6","0.0","0.4"
"107","1","0","The Gommage","16","5","Sophie","Of course. I’ll bring it to Jules.","0.3","0.0","0.0","0.0","0.0","0.0","0.7"
"108","1","0","The Gommage","16","6","Richard","He won’t join the Gommage ceremony, but he will be at the Expedition Festival tonight for sure. Oh, but you…","0.1","0.0","0.0","0.0","0.0","0.0","0.9"
"109","1","0","The Gommage","16","7","Sophie","Don’t worry, I’ll ask Gustave.","0.2","0.0","0.0","0.0","0.0","0.0","0.8"
"110","1","0","The Gommage","16","8","Richard","Gustave? Are you back together?","0.0","0.0","0.3","0.0","0.0","0.0","0.7"
"111","1","0","The Gommage","16","9","Sophie","For this moment… Maybe.","0.3","0.0","0.0","0.0","0.0","0.0","0.7"
"112","1","0","The Gommage","16","10","Richard","I’m glad… He is a good person.","0.2","0.0","0.0","0.0","0.0","0.0","0.8"
"113","1","0","The Gommage","16","11","Sophie","Yes, he is…","0.3","0.0","0.0","0.0","0.0","0.0","0.7"
"114","1","0","The Gommage","16","12","Richard","Thanks to both of you. And see you.","0.2","0.0","0.0","0.0","0.0","0.0","0.8"
"115","1","0","The Gommage","16","13","Sophie","See you.","0.0","0.0","0.0","0.0","0.3","0.0","0.7"
"116","1","0","The Gommage","17","0","Eloise","Hm…","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"117","1","0","The Gommage","17","1","Sophie","Is something wrong?","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"118","1","0","The Gommage","17","2","Eloise","The Expeditions… What a joke.","0.0","0.0","0.0","0.7","0.3","0.0","0.0"
"119","1","0","The Gommage","17","3","Sophie","…","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"120","1","0","The Gommage","17","4","Eloise","All they do is leave us here to die. They’re just escaping.","0.0","0.0","0.0","0.5","0.5","0.0","0.0"
"121","1","0","The Gommage","17","5","Sophie","You know their goal is to save us all, right?","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"122","1","0","The Gommage","17","6","Eloise","Yeah, that’s what my father told me last year. Before he left for Expedition 34. And here we are again this year. We could have spent one more year together instead of wasting it away…","0.0","0.0","0.0","0.3","0.7","0.0","0.0"
"123","1","0","The Gommage","17","7","Sophie","Your father fought to offer you a better future…","0.0","0.0","0.0","0.0","0.4","0.0","0.6"
"124","1","0","The Gommage","17","8","Eloise","I have no future. I know it and I’ve accepted it. We’re doomed.","0.0","0.0","0.0","0.0","0.8","0.2","0.0"
"125","1","0","The Gommage","17","9","Sophie","You never know, this Expedition might be different. There are some special people in this one.","0.0","0.3","0.0","0.0","0.2","0.0","0.5"
"126","1","0","The Gommage","17","10","Eloise","Yeah, right…","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"127","1","0","The Gommage","17","11","Sophie","Gustave? Why don’t you show her some of your fighting skills to prove her wrong?","0.0","0.4","0.0","0.0","0.0","0.0","0.6"
"128","1","0","The Gommage","17","12","Eloise","That’s… This guy is strong…","0.0","0.0","0.6","0.0","0.0","0.4","0.0"
"129","1","0","The Gommage","17","13","Sophie","They all train their Pictos skills very hard to save us all. And so did your father.","0.0","0.3","0.0","0.0","0.2","0.0","0.5"
"130","1","0","The Gommage","17","14","Eloise","Then, madam, why didn’t you join?","0.0","0.0","0.0","0.3","0.4","0.3","0.0"
"131","1","0","The Gommage","17","15","Sophie","Me? I’m content with my life. I know what I can and cannot change. Or maybe… Because I was afraid.","0.0","0.0","0.0","0.0","0.5","0.5","0.0"
"132","1","0","The Gommage","17","16","Eloise","… Do you think… I should join the Expedition?","0.0","0.4","0.0","0.0","0.3","0.3","0.0"
"133","1","0","The Gommage","17","17","Sophie","My friend Sciel always says, do your best, either it works or it doesn’t. Live your life as you want.","0.0","0.5","0.0","0.0","0.0","0.0","0.5"
"134","1","0","The Gommage","17","18","Eloise","I… I don’t want to have regrets… I don’t have that much time…","0.0","0.0","0.0","0.0","0.7","0.3","0.0"
"135","1","0","The Gommage","17","19","Sophie","When the time comes, you’ll make the right decision. I’m sure.","0.0","0.3","0.0","0.0","0.0","0.0","0.7"
"136","1","0","The Gommage","17","20","Eloise","Thank you. Now I think I know… Give this to your boyfriend, my father gave it to me, but it might be more useful for him.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"137","1","0","The Gommage","21","0","Ophélie","Hi, Gustave. You’re back. Did you want to pick out a different flower?","0.4","0.0","0.0","0.0","0.0","0.0","0.6"
"138","1","0","The Gommage","21","1","Gustave","No, the one you suggested earlier was perfect.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"139","1","0","The Gommage","21","2","Ophélie","I’m glad. These garlands are our last farewell. I want them all to feel special. I have a garland saved for you, too. But it’s not a farewell garland. It will be a welcome home garland. Good luck… My friend.","0.6","0.0","0.0","0.0","0.2","0.0","0.2"
"140","1","0","The Gommage","21","3","Gustave","Thanks, Ophélie.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"141","1","0","The Gommage","22","0","Sophie","Oh, Lune’s playing. You two would make a cute couple.","0.4","0.0","0.0","0.0","0.0","0.0","0.6"
"142","1","0","The Gommage","22","1","Gustave","If you say so.","0.3","0.0","0.0","0.0","0.0","0.0","0.7"
"143","1","0","The Gommage","22","2","Sophie","Or maybe… Something already happened, huh?","0.4","0.0","0.3","0.0","0.0","0.0","0.3"
"144","1","0","The Gommage","22","3","Gustave","…","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"145","1","0","The Gommage","27","0","Sophie","Sometimes I feel sorry for her.","0.0","0.0","0.0","0.0","0.5","0.0","0.5"
"146","1","0","The Gommage","27","1","Gustave","Who, the– The Paintress??","0.0","0.0","0.4","0.0","0.0","0.0","0.6"
"147","1","0","The Gommage","27","2","Sophie","Look at her. She looks… sad. Maybe she’s a prisoner too. Stuck in the same cycle with us. Silly, huh?","0.0","0.0","0.0","0.0","0.6","0.0","0.4"
"148","1","0","The Gommage","27","3","Gustave","Only you could choose empathy at a moment like this.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"149","1","0","The Gommage","27","4","Sophie","It’s one of the few choices I can make.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"150","1","0","The Gommage","27","5","Gustave","I couldn’t do it.","0.0","0.0","0.0","0.0","0.5","0.0","0.5"
"151","1","0","The Gommage","27","6","Sophie","It’s ok. You don’t have to.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"152","1","0","The Gommage","29","0","Mielle","Oh, hi, Sophie.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"153","1","0","The Gommage","29","1","Sophie","Oh? Mielle? I didn’t expect to see you here.","0.4","0.0","0.3","0.0","0.0","0.0","0.3"
"154","1","0","The Gommage","29","2","Mielle","I’m volunteering to help guide children who are losing their parents to the orphanage. Those who were not registered for foster families…","0.0","0.0","0.0","0.0","0.6","0.0","0.4"
"155","1","0","The Gommage","29","3","Sophie","How kind of you.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"156","1","0","The Gommage","29","4","Mielle","I guess I can relate…","0.0","0.0","0.0","0.0","0.7","0.0","0.3"
"157","1","0","The Gommage","29","5","Sophie","Take care during the Expedition. Gustave told me a lot of wonderful things about you.","0.4","0.0","0.0","0.0","0.0","0.0","0.6"
"158","1","0","The Gommage","29","6","Mielle","About you too. I always told him you two should never have broken up.","0.0","0.0","0.0","0.0","0.5","0.0","0.5"
"159","1","0","The Gommage","29","7","Sophie","Look at these orphans, that’s… That’s where we disagreed. But I have hope that you and Gustave will change things, so no one has to go through this impossible choice again.","0.3","0.3","0.0","0.0","0.2","0.0","0.2"
"160","1","0","The Gommage","29","8","Mielle","Yeah… Let’s hope we will.","0.3","0.3","0.0","0.0","0.2","0.0","0.2"
"161","1","0","The Gommage","29","9","Sophie","See you.","0.4","0.0","0.0","0.0","0.0","0.0","0.6"
"162","1","0","The Gommage","29","10","Mielle","In the next life.","0.0","0.0","0.0","0.0","0.5","0.0","0.5"
"163","1","0","The Gommage","36","0","Henri","You’d have to be crazy to use Pictos on your own body.","0.0","0.0","0.0","0.0","0.0","0.3","0.7"
"164","1","0","The Gommage","36","1","Sophie","Why? Aren’t you enjoying the show?","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"165","1","0","The Gommage","36","2","Henri","Nah, the show’s great, but etching chroma onto your skin? oof, that’s brutal. And just for a dance? I’ll stick to painting Pictos on my machines, I’m not cuckoo enough to put them on my body.","0.0","0.0","0.0","0.0","0.0","0.3","0.7"
"166","1","0","The Gommage","36","3","Sophie","Could be useful though, the Expeditions rely on them quite heavily.","0.0","0.3","0.0","0.0","0.0","0.0","0.7"
"167","1","0","The Gommage","36","4","Henri","Eh, they’re crazy too. But at least, you can remove Pictos pretty easily if you change your mind.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"168","1","0","The Gommage","40","0","Sophie","I’ve always loved the Harbour.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"169","1","0","The Gommage","42","0","Sophie","I see your apprentices.","0.4","0.0","0.0","0.0","0.0","0.0","0.6"
"170","1","0","The Gommage","42","1","Alexandre","Gustave! Gustave!","0.6","0.0","0.4","0.0","0.0","0.0","0.0"
"171","1","0","The Gommage","42","2","Gustave","What–","0.0","0.0","0.5","0.0","0.0","0.0","0.5"
"172","1","0","The Gommage","42","3","Guillaume","Here. Sophie asked us to bring you your coat.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"173","1","0","The Gommage","42","4","Alexandre","We sewed up the sleeves so you don’t have to keep rolling it up.","0.5","0.0","0.3","0.0","0.0","0.0","0.2"
"174","1","0","The Gommage","42","5","Gustave","You guys know how to sew?","0.3","0.0","0.5","0.0","0.0","0.0","0.2"
"175","1","0","The Gommage","42","6","Alexandre","Sophie helped us. Turns out, it’s not that hard! You really shoulda done this ages ago.","0.4","0.0","0.3","0.0","0.0","0.0","0.3"
"176","1","0","The Gommage","42","7","Gustave","You did this?","0.5","0.0","0.3","0.0","0.0","0.0","0.2"
"177","1","0","The Gommage","42","8","Sophie","Gentlemen, that was supposed to be between us, yeah? I wanted to do something. For you.","0.4","0.0","0.0","0.0","0.0","0.0","0.6"
"178","1","0","The Gommage","42","9","Gustave","Soph. Thanks, guys, this is– This is great. Thank you.","0.6","0.0","0.0","0.0","0.0","0.0","0.4"
"179","1","0","The Gommage","42","10","Alexandre","See you at the festival?","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"180","1","0","The Gommage","42","11","Guillaume","Don’t leave without saying goodbye.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"181","1","0","The Gommage","42","12","Gustave","Yeah, of course not. What? I know that face.","0.0","0.0","0.5","0.0","0.0","0.0","0.5"
"182","1","0","The Gommage","42","13","Sophie","You mean a lot to them. I can tell.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"183","1","0","The Gommage","42","14","Gustave","Yeah, they mean a lot to me too. Legacy can take many forms, right?","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"184","1","0","The Gommage","42","15","Sophie","Yeah.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"185","1","0","The Gommage","42","16","Gustave","You taught me that.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"186","1","0","The Gommage","42","17","Sophie","Hm. Right.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"187","1","0","The Gommage","42","18","Gustave","Why?","0.0","0.0","0.5","0.0","0.0","0.0","0.5"
"188","1","0","The Gommage","42","19","Sophie","I… wanted to see you wearing it.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"189","1","0","The Gommage","42","20","Gustave","Oh, you like uniforms now?","0.4","0.0","0.3","0.0","0.0","0.0","0.3"
